Company Name,Job Title,Location,Job Description,Salary,Link
Leegality,Sales/ BDR Freshers,Remote,"We are hiring for freshers pursuing MBA or LLB from reputed colleges with a core interest in Business and Sales.
This will be a pre-sales role.",Not Available,https://in.indeed.com/rc/clk?jk=5a7dbeef6699e53f&fccid=d51ca5e154a2c750&vjs=3
KTS,B2B Marketing Associate (Fresher),"Pune, Maharashtra",Research to collect all relevant information available on the web about Key Decision Makers to reinforce the direct cold outreach campaigns.,Not Available,https://in.indeed.com/company/Kartech-Solutions/jobs/B2b-Marketing-Associate-dcb1f6659b9b5ea4?fccid=41cbd32b7ac2df8c&vjs=3
Arsenal iT,Data Entry Work for fresher(Male),"Dharmapuri, Tamil Nadu","We are looking for the candidates who is good at typing with basic communication skill (English).
Job Types: Full-time, Regular / Permanent.","₹8,000 a month",https://in.indeed.com/company/Arsenal-iT/jobs/Data-Entry-Work-Fresher-e21513b36fb8a6a8?fccid=e85ad0a762c34c16&vjs=3
Dell Technologies,"Assistant, Quality Control","Sriperumbudur, Tamil Nadu","When you’re creating technologies that drive human progress, nothing short of the highest standards of quality will do.",Not Available,https://in.indeed.com/rc/clk?jk=5a273f37a17aef51&fccid=dd09fe3b43125016&vjs=3
Crisil,Management Trainee,"Pune, Maharashtra","FR-Sell Side-Equity Research.
A Research Analyst / Senior Research Analyst is responsible for executing research of a designated sector / geography for a…",Not Available,https://in.indeed.com/rc/clk?jk=b47b553548aef097&fccid=a16d9ed628a37fab&vjs=3
Vinraj Plastics Industries,CIPET Fresher,"Daman, Daman and Diu","Urgently Require Freshers/CIPET Passed out in QA Department for PVC Calender films manufacturing Industry. Job Type: Full-time Salary: ₹8,000.00 - ₹12,000…","₹8,000 - ₹12,000 a month",https://in.indeed.com/company/Vinraj-Plastics-Industries/jobs/Cipet-Fresher-71144b298d388a46?fccid=a3f6d64103dfe086&vjs=3
"Awake Institute of Advanced Training, Kottayam",Student Counselor,"Kottayam, Kerala","Age limit 35 years and previous experience in visa processing to UK and Europe will have more preference.
Job Types: Full-time, Regular / Permanent.","₹15,000 - ₹30,000 a month",https://in.indeed.com/company/Awake/jobs/Student-Counselor-ca4766a38446917e?fccid=ed394bc59bcfea48&vjs=3
Triadesolutions,Business Analyst Fresher,"Sahibzada Ajit Singh Nagar, Punjab","Skills required - Communication skills, Lead generation, client handling, etc.
To prepare reports and provide updates to the management & client of all the…","₹10,364 - ₹49,027 a month",https://in.indeed.com/company/Triadesolutions/jobs/Business-Analyst-Fresher-da360c90c57ceb4d?fccid=82e921faa23e0f9b&vjs=3
Propladder,SEO Fresher,"Hyderabad, Telangana",Average time on page analysis.,Not Available,https://in.indeed.com/rc/clk?jk=d9da372f236869e8&fccid=09838ae4b06463ef&vjs=3
Windzoon Technologies,Sr. Business Development Executive,"Ahmedabad, Gujarat","Salary: * 10k - 45k (depends on their experience).
We are looking for Candidates for the position of Business Development Executive (Fresher/Experienced) who…","₹25,000 - ₹60,000 a month",https://in.indeed.com/company/Windzoon-Technologies/jobs/Senior-Business-Development-Executive-4d533dc83ff3ccfa?fccid=7ea07cc624e0d08e&vjs=3
ALGORITHMS,FRESHERS CONTENT WRITER VACANCY,"Garia, Kolkata, West Bengal","WE ARE LOOKING FOR LOCAL CANDIDATES WHO CAN WORK FROM OUR OFFICE PREMISES.*.
FRESHERS ONLY (Any graduate).
Candidates ONLY from South Kolkata (Preferably from…","₹10,000 - ₹12,000 a month",https://in.indeed.com/company/ALGORITHMS/jobs/Fresher-Content-Writer-969ab14293be31f6?fccid=83a7e50fac2c1137&vjs=3
